,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,IoU,f1_score
57,downsampling_2,pos2_fr_1.tif,1,1,0.7024241544491218,0.8252046384720327
58,downsampling_2,pos2_fr_1.tif,2,2,0.4201976445106268,0.5917453054999523
59,downsampling_2,pos2_fr_1.tif,ALL,ALL,0.5613108994798743,0.7084749719859925
60,downsampling_2,pos7_fr_1.tif,1,1,0.7032062391681109,0.825744085474434
61,downsampling_2,pos7_fr_1.tif,2,2,0.4597023308059534,0.6298576375529049
62,downsampling_2,pos7_fr_1.tif,ALL,ALL,0.5814542849870321,0.7278008615136695
63,downsampling_2,pos5_fr_80.tif,1,1,0.6023688663282571,0.7518479408658922
64,downsampling_2,pos5_fr_80.tif,2,2,0.4384575208913649,0.6096217851739788
65,downsampling_2,pos5_fr_80.tif,ALL,ALL,0.5204131936098111,0.6807348630199355
66,downsampling_2,pos2_fr_20.tif,1,1,0.6590383980635933,0.7944823927316135
67,downsampling_2,pos2_fr_20.tif,2,2,0.4149240589918556,0.5864965774735532
68,downsampling_2,pos2_fr_20.tif,ALL,ALL,0.5369812285277245,0.6904894851025833
69,downsampling_2,pos2_fr_40.tif,1,1,0.659152705902991,0.7945654472404314
70,downsampling_2,pos2_fr_40.tif,2,2,0.41762013729977115,0.5891848264729621
71,downsampling_2,pos2_fr_40.tif,ALL,ALL,0.5383864216013811,0.6918751368566968
72,downsampling_2,pos7_fr_60.tif,1,1,0.6532878453408255,0.7902892979971677
73,downsampling_2,pos7_fr_60.tif,2,2,0.44751343628818285,0.6183202519152136
74,downsampling_2,pos7_fr_60.tif,ALL,ALL,0.5504006408145041,0.7043047749561906
75,downsampling_2,pos5_fr_40.tif,1,1,0.6295778585406765,0.7726882827243094
76,downsampling_2,pos5_fr_40.tif,2,2,0.4213523131672598,0.5928893340010015
77,downsampling_2,pos5_fr_40.tif,ALL,ALL,0.5254650858539681,0.6827888083626554
78,downsampling_2,pos5_fr_20.tif,1,1,0.5982001058761249,0.7485922490891024
79,downsampling_2,pos5_fr_20.tif,2,2,0.39628012905674703,0.5676226722848987
80,downsampling_2,pos5_fr_20.tif,ALL,ALL,0.497240117466436,0.6581074606870005
81,downsampling_2,pos7_fr_40.tif,1,1,0.6409106296547055,0.7811645778534221
82,downsampling_2,pos7_fr_40.tif,2,2,0.44114518702357736,0.6122147733562949
83,downsampling_2,pos7_fr_40.tif,ALL,ALL,0.5410279083391414,0.6966896756048585
84,downsampling_2,pos5_fr_60.tif,1,1,0.5656674574078068,0.7225895316804408
85,downsampling_2,pos5_fr_60.tif,2,2,0.4081561519693273,0.5797029702970297
86,downsampling_2,pos5_fr_60.tif,ALL,ALL,0.48691180468856704,0.6511462509887352
87,downsampling_2,pos7_fr_20.tif,1,1,0.6621739130434783,0.7967564739733194
88,downsampling_2,pos7_fr_20.tif,2,2,0.44530643910007756,0.6162104133118625
89,downsampling_2,pos7_fr_20.tif,ALL,ALL,0.553740176071778,0.706483443642591
90,downsampling_4,pos7_fr_80.tif,1,1,0.014803625377643504,0.029175349806490027
91,downsampling_4,pos7_fr_80.tif,2,2,0.4485794787508805,0.6193370613501904
92,downsampling_4,pos7_fr_80.tif,ALL,ALL,0.231691552064262,0.32425620557834023
93,downsampling_4,pos2_fr_80.tif,1,1,0.012427745664739885,0.024550385383956607
94,downsampling_4,pos2_fr_80.tif,2,2,0.44533029612756264,0.6162332545311269
95,downsampling_4,pos2_fr_80.tif,ALL,ALL,0.22887902089615125,0.32039181995754173
96,downsampling_4,pos5_fr_1.tif,1,1,0.04779874213836478,0.09123649459783914
97,downsampling_4,pos5_fr_1.tif,2,2,0.3862928348909657,0.5573033707865168
98,downsampling_4,pos5_fr_1.tif,ALL,ALL,0.21704578851466524,0.32426993269217796
99,downsampling_4,pos2_fr_60.tif,1,1,0.030665669409124907,0.059506531204644414
100,downsampling_4,pos2_fr_60.tif,2,2,0.4321381913194948,0.6034867220758159
101,downsampling_4,pos2_fr_60.tif,ALL,ALL,0.23140193036430987,0.33149662664023016
102,downsampling_4,pos2_fr_1.tif,1,1,0.08618012422360248,0.15868477483917084
103,downsampling_4,pos2_fr_1.tif,2,2,0.3911875335840946,0.5623792970258787
104,downsampling_4,pos2_fr_1.tif,ALL,ALL,0.23868382890384854,0.3605320359325248
105,downsampling_4,pos7_fr_1.tif,1,1,0.04700530705079606,0.08979000724112962
106,downsampling_4,pos7_fr_1.tif,2,2,0.4076484947111473,0.5791907514450867
107,downsampling_4,pos7_fr_1.tif,ALL,ALL,0.22732690088097168,0.33449037934310816
108,downsampling_4,pos5_fr_80.tif,1,1,0.007895959126799815,0.01566820276497696
109,downsampling_4,pos5_fr_80.tif,2,2,0.4337874659400545,0.605093120486507
110,downsampling_4,pos5_fr_80.tif,ALL,ALL,0.22084171253342716,0.31038066162574196
