Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy,Dimensions
downsampling_8,15.tif,7.042578281286062,6.174537372824176,0.7471047686170996,0.8183005169048173,2.978950370291547,4.14820620641975,3.605236991374844,3.6951874144947774,15.325259515570934,15.325259515570934,11.56472809584138,1.6259370284115973,1.0,2.758006194452907,4.071826642466953,3.428833153721281,3.4672221104911243,15.262357414448667,15.262357414448667,11.821482884884238,1.3817940373495805,1.0,289,264,263,22,1,0.9228070175438596,0.9195804195804196,"[303, 303]"
downsampling_8,16.tif,7.287039602028785,6.14663694791046,0.7284806532312634,0.8030522532747575,3.0394655389712284,4.143238362449152,3.620282452763388,3.683053593560112,15.389221556886229,15.389221556886229,11.614715908553922,inf,1.0,2.6445929647734254,4.045047125720427,3.3320195948043265,3.3263144737170594,15.116279069767442,15.119601328903654,11.754069522589145,1.38379234247948,0.9998045729919874,334,301,199,27,1,0.8805309734513275,0.8766519823788547,"[303, 303]"
downsampling_8,18.tif,7.240465140285323,6.441357398905132,0.7766581889383596,0.8460914496841953,2.9340614819501263,4.113630625268713,3.5488275614045377,3.5983179817412596,14.892030848329048,14.892030848329048,11.362155797732775,inf,1.0,2.6864551805995713,4.083441161327012,3.3887421914853317,3.4167057398813236,14.978021978021978,14.978021978021978,11.676084525677137,1.3895731376212934,1.0,389,364,180,19,1,0.9045226130653268,0.9,"[303, 303]"
downsampling_8,9.tif,7.826987691690445,6.6235451184648655,0.7909853181346771,0.8666041681030667,2.8755365626027585,4.103521534344073,3.5106887080548317,3.5716812390613035,14.788732394366198,14.788732394366198,11.311397419283304,inf,1.0,2.5657869664592914,4.0738885997914736,3.3202077418849427,3.341584641245564,15.043795620437956,15.043795620437956,11.685043074234176,1.3968589966563798,1.0,142,137,137,5,0,0.9647887323943662,0.9647887323943662,"[303, 303]"
upsampling_2,10.tif,0.0272306309587168,0.0243070158310045,0.8879326530679458,0.9364413798805836,11.200475214200384,64.056732184814,40.56028189118151,41.04231936070325,3977.895890410959,3977.895890410959,257.2538381138491,0.7451964264739208,1.0,62.77571661995947,68.62693909263305,66.40986511555532,66.800273280939,4222.013812154696,4222.013812154696,240.28215706938303,0.9115908708686344,1.0,365,363,362,2,1,0.9945054945054944,0.9917808219178084,"[4860, 4860]"
upsampling_2,14b.tif,0.0270294251890848,0.0238194860761752,0.8742461738541112,0.9230050341649968,10.954033834009827,64.7752918434221,40.76465867095684,41.213372809354695,3953.277486910995,3953.277486910995,256.2193248150762,0.7469403142125989,1.0,63.24790282651713,68.75783772624207,66.57042132043209,66.86823637944352,4247.524064171123,4247.524064171123,241.20979953962808,0.9106816837716436,1.0,191,187,187,4,0,0.9790575916230366,0.9790575916230366,"[4860, 4860]"
upsampling_2,15.tif,0.0270633938908693,0.0243276552233566,0.8920513306990869,0.9393246493969476,9.1031233417936,63.478985468433834,40.144088766275864,40.80531123892853,3937.020689655172,3937.020689655172,256.42443566510826,0.7422106890138174,1.0,62.399537594316094,68.07831761779678,65.88495989139251,66.2556528572487,4234.996527777777,4234.996527777777,240.85279818184517,0.9093831742367928,1.0,290,288,288,1,0,0.9965397923875432,0.9965397923875432,"[4860, 4860]"
upsampling_2,16.tif,0.0274647735875779,0.0237898849007301,0.8703071519138249,0.9234201504960464,9.346683901192804,64.27883133556801,40.52052638651782,41.1016724474986,3993.760479041917,3993.760479041917,257.7454807194801,0.7449802617553938,1.0,62.101742251981335,69.03923954600018,66.33245234243743,66.71254515073063,4271.474164133739,4271.474164133739,242.04591274899315,0.9091562778408452,1.0,334,330,329,3,1,0.9909638554216867,0.987987987987988,"[4860, 4860]"
upsampling_2,18.tif,0.0272837548014944,0.0252042168600118,0.8894214021292313,0.9408647681758324,9.479838900991307,63.39741695453799,39.87692212549836,40.4252413977686,3850.149100257069,3850.149100257069,253.32163270910505,0.7456006070874777,1.0,61.93708496689561,67.90585249538127,65.57337568335473,65.95853780013391,4132.928020565552,4132.928020565552,237.6579909971481,0.9111379878916276,1.0,389,390,389,0,1,1.0,0.9974358974358974,"[4860, 4860]"
upsampling_2,9.tif,0.0298117098693385,0.0257233775152513,0.8683738397322748,0.9257646341432596,9.493336879264922,61.08745665512999,38.49125145132157,39.03383960357875,3722.6293706293704,3722.6293706293704,249.2150222809848,0.7394999030013877,1.0,61.59776129617603,67.18114500242696,64.98189810844777,65.3045319551777,4051.711267605634,4051.711267605634,235.24556822864255,0.910437871814794,1.0,143,142,142,1,0,0.993006993006993,0.993006993006993,"[4860, 4860]"
upsampling_4,10.tif,0.0068076577396792,0.0062964276180808,0.888623972047742,0.936872528287668,23.610356506898142,127.35942963863334,82.19106996068808,83.15899853749114,15911.583561643836,15911.583561643836,541.625144721889,0.6724819445392404,1.0,122.29511244629325,134.76406320544285,130.08766943166563,130.734914223816,16383.204419889502,16383.204419889502,476.2833261793051,0.8995130994175887,1.0,365,363,362,1,1,0.9972451790633609,0.9945054945054944,"[9720, 9720]"
upsampling_4,14b.tif,0.0067573562972712,0.0062642731364039,0.8751767609322928,0.9191357055522557,23.283146711485053,128.90285727313142,82.5135258954468,83.42498705256527,15813.10994764398,15813.10994764398,539.36143023719,0.6743502247853783,1.0,118.9176002116527,133.22532599868205,127.73384663546524,128.3962179461535,16051.378378378378,16051.378378378378,472.03047376603615,0.8977446135320662,1.0,191,185,185,6,0,0.9685863874345548,0.9685863874345548,"[9720, 9720]"
upsampling_4,15.tif,0.0067658484727173,0.0059533212799262,0.8598801073700264,0.9015090628240928,19.787879644594025,126.13586770697748,81.21439403885955,82.55209924335585,15748.082758620689,15748.082758620689,539.7481255191948,0.6701590110396513,1.0,120.31560438555243,134.61162822458516,129.14505603728233,129.73606340651497,16476.087272727273,16476.087272727273,478.07036125580714,0.8986927746882601,1.0,290,275,275,10,0,0.9649122807017544,0.9649122807017544,"[9720, 9720]"
upsampling_4,16.tif,0.0068661933968944,0.0057226691189833,0.8098524196258721,0.8578536349000266,20.36774661795102,127.68107724905818,82.06020172763974,83.21745784801456,15975.041916167664,15975.041916167664,542.5667975013765,0.6725082033868447,1.0,118.97601556154628,134.90050525641033,128.89221031686853,129.8797138290495,16430.088524590163,16430.088524590163,478.0777780920605,0.8977285519546049,1.0,334,304,203,23,0,0.8982300884955752,0.8982300884955752,"[9720, 9720]"
upsampling_4,18.tif,0.0068209387003736,0.0062534386908234,0.8852584163929244,0.9329543849555724,20.40431542057736,125.99339883421428,80.75295655475335,81.828423080738,15400.596401028277,15400.596401028277,533.3977200606383,0.6726956558671218,1.0,120.04429228714253,134.3012556757345,128.8001699320293,129.5231063923458,16211.588541666666,16211.588541666666,473.92467580415587,0.901009552013226,1.0,389,385,384,5,1,0.987146529562982,0.9846153846153848,"[9720, 9720]"
upsampling_4,9.tif,0.0074529274673346,0.0066444401203483,0.8769105981440762,0.9308165674883488,20.52291022783713,121.33527801482585,78.0163193434619,79.14245281654591,14890.517482517482,14890.517482517482,524.9840471953099,0.666590995317871,1.0,119.39771601348914,132.09008509899948,127.48770721351067,128.2942027591336,15635.408450704226,15635.408450704226,465.4411476331842,0.8980396590229022,1.0,143,143,142,1,1,0.993006993006993,0.9861111111111112,"[9720, 9720]"
